Vessel,Frame_number,used_for_BM,used_for_SF,Framepositionfromaft,WiDegree,Expression type,NumberOfHolds,Holdsatframe,Htank_Weight_Ratio,BallastHoldWeight,HoldBMMiConst,BMBaseValueDegree,BMTrimCorDegree,BMBaseConst,BMBaseTrimConst,SFBaseDraftDegree,SFTrimCorDegree,SFBaseConst,SFBaseTrimConst,countBallastTank,WtRatio_blst_tank,LCG_blst_tank,Holdbsttankweight,HoldbsttankLCG,Ratio_blst_tank,Ratio_hold,Ballast_tank_list,DistfromAP,Hold_tanks_list
KAC,249,1,1,8,1,WI,7,"0,0,0,0,0,0,0",0,13065.88,"0,0,0,0,0,0,0",2,2,"-5.797187656371889,0.00019757591599928293,-5.815193217791612e-10","-0.5422832942351755,2.3081116117050912e-06,-1.973616114490749e-12",2,7,"-0.8719869805229569,3.5258099567973265e-05,-6.730849459084276e-11","-0.10231991602650957,1.4999711357877252e-06,-1.204198136870771e-10,5.2006242743197965e-15,-1.191221927195797e-19,1.4869205242299354e-24,-9.548364120400813e-30,2.467589768936628e-35",11,"1.0,0,0,0,0,0,0,0,0,0,0,0","217.58,0,0,0,0,0,0,0,0,0,0,0","13065.88,0",119.75,"1.0,0,0,0,0,0,0,0,0,0,0","0,0,0,0,0,0,0","FORE PEAK TANK,NO. 1 T. & BTM. W. B. TK. S,NO. 1 T. & BTM. W. B. TK. P,NO. 2 T. S. & BTM. W. B. TK. S,NO. 2 T. S. & BTM. W. B. TK. P,NO. 3 S. & BTM. W. B. TK. S,NO. 3 S. & BTM. W. B. TK. P,NO. 4 T. S. & BTM. W. B. TK. S,NO. 4 T. S. & BTM. W. B. TK. P,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,AFT PEAK TANK",212.755,4
KAC,218,1,1,7,1,WI,7,"1.0,0,0,0,0,0,0",0,13065.88,"198.94,0,0,0,0,0,0",2,2,"-48.72347125994124,0.0028242119371510955,-3.714538101909877e-09","-7.364340370066905,6.264874374628055e-06,-5.356958025046673e-12",2,5,"-2.272515639054177,0.0001673734123372414,-1.7202067392565288e-10","-0.41272386316817955,1.6909785478410515e-07,-5.104924774082086e-12,1.533755458245769e-16,-1.8725068970976718e-21,7.906796486998851e-27",11,"1.0,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0","0,199.79,199.79,187.24,187.24,0,0,0,0,0,0,0","13065.88,0",119.75,"0,1.0,1.0,0.086,0.086,0,0,0,0,0,0","1.0,0,0,0,0,0,0","FORE PEAK TANK,NO. 1 T. & BTM. W. B. TK. S,NO. 1 T. & BTM. W. B. TK. P,NO. 2 T. S. & BTM. W. B. TK. S,NO. 2 T. S. & BTM. W. B. TK. P,NO. 3 S. & BTM. W. B. TK. S,NO. 3 S. & BTM. W. B. TK. P,NO. 4 T. S. & BTM. W. B. TK. S,NO. 4 T. S. & BTM. W. B. TK. P,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,AFT PEAK TANK",185.94,4
KAC,186,1,1,6,1,WI,7,"1.0,1.0,0,0,0,0,0",0,13065.88,"0,172.6,0,0,0,0,0",2,2,"-128.63591047274127,0.009536760403542115,-1.0155672480212336e-08","-22.52613317694071,9.232446446820179e-06,-7.894464457962093e-12",2,7,"-3.5418735562887136,0.00031764826999399,-2.921371526358684e-10","-0.6619339466871839,-3.666453356957668e-07,3.87186601273005e-11,-1.6067127061981627e-15,3.695485889579211e-20,-4.804642498151976e-25,3.298157114582748e-30,-9.260577206883699e-36",11,"1.0,1.0,1.0,0.914,0.914,0.914,0.914,0,0,0,0,0","0,0,0,172.11,172.11,159.56,159.56,0,0,0,0,0","13065.88,0",119.75,"0,0,0,0.914,0.914,0.049,0.049,0,0,0,0","0,1.0,0,0,0,0,0","FORE PEAK TANK,NO. 1 T. & BTM. W. B. TK. S,NO. 1 T. & BTM. W. B. TK. P,NO. 2 T. S. & BTM. W. B. TK. S,NO. 2 T. S. & BTM. W. B. TK. P,NO. 3 S. & BTM. W. B. TK. S,NO. 3 S. & BTM. W. B. TK. P,NO. 4 T. S. & BTM. W. B. TK. S,NO. 4 T. S. & BTM. W. B. TK. P,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,AFT PEAK TANK",158.26,4
KAC,156,1,1,5,1,WI,7,"1.0,1.0,1.0,0,0,0,0",0,13065.88,"0,0,145.24,0,0,0,0",2,2,"-236.08099363260538,0.019607978055050254,-1.9241814893643266e-08","-41.68641647117588,1.1540558058524972e-05,-9.868080572449424e-12",2,6,"-4.7332060260593325,0.00045857891525159664,-4.067044479415536e-10","-0.7972231858737349,3.119863944610508e-07,-1.7194302667535332e-11,5.845398516375667e-16,-9.9957535013535e-21,8.323921189774887e-26,-2.684262982175119e-31",11,"1.0,1.0,1.0,0.914,0.914,0.485,0.485,0,0,0,0,0","0,0,0,0,0,145.29,145.29,0,0,0,0,0","13065.88,0",119.75,"0,0,0,0,0,0.485,0.485,0,0,0,0","0,0,1.0,0,0,0,0","FORE PEAK TANK,NO. 1 T. & BTM. W. B. TK. S,NO. 1 T. & BTM. W. B. TK. P,NO. 2 T. S. & BTM. W. B. TK. S,NO. 2 T. S. & BTM. W. B. TK. P,NO. 3 S. & BTM. W. B. TK. S,NO. 3 S. & BTM. W. B. TK. P,NO. 4 T. S. & BTM. W. B. TK. S,NO. 4 T. S. & BTM. W. B. TK. P,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,AFT PEAK TANK",132.31,4
KAC,127,1,1,4,1,WI,7,"1.0,1.0,1.0,1.0,0,0,0",1,13065.88,"0,0,0,119.76,0,0,0",2,2,"-369.21326146294973,0.032822574288646295,-3.0830132667635374e-08","-62.2618223872514,1.3683804555109293e-05,-1.170072410735099e-11",2,6,"-5.889325689071823,0.000595181775741087,-5.192880752425818e-10","-0.8276646537292921,-1.4444692203481933e-07,1.676931488451752e-11,-5.721605189403119e-16,9.75900776803014e-21,-8.124102527572357e-26,2.6235320349600746e-31",11,"1.0,1.0,1.0,0.914,0.914,0.467,0.467,0.467,0.467,0,0,0","0,0,0,0,0,119.77,119.77,108.53,108.53,0,0,0","13065.88,0",119.75,"0,0,0,0,0,0.467,0.467,0.059,0.059,0,0","0,0,0,1.0,0,0,0","FORE PEAK TANK,NO. 1 T. & BTM. W. B. TK. S,NO. 1 T. & BTM. W. B. TK. P,NO. 2 T. S. & BTM. W. B. TK. S,NO. 2 T. S. & BTM. W. B. TK. P,NO. 3 S. & BTM. W. B. TK. S,NO. 3 S. & BTM. W. B. TK. P,NO. 4 T. S. & BTM. W. B. TK. S,NO. 4 T. S. & BTM. W. B. TK. P,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,AFT PEAK TANK",107.225,4
KAC,96,1,1,3,1,WI,7,"1.0,1.0,1.0,1.0,1.0,0,0",0,13065.88,"0,0,0,0,94.31,0,0",2,2,"-543.8398934996839,0.05075049929845934,-4.644871551999811e-08","-83.17222830332693,1.582705105169028e-05,-1.3533367642203394e-11",2,6,"-7.13536176359728,0.0007420971610760576,-6.469225537953211e-10","-0.7586646537292934,-1.444469220346609e-07,1.6769314884505262e-11,-5.721605189398396e-16,9.759007768021356e-21,-8.12410252756477e-26,2.6235320349576306e-31",11,"1.0,1.0,1.0,0.914,0.914,0.467,0.467,0.537,0.537,0,0,0","0,0,0,0,0,0,0,94.37,94.37,0,0,0","13065.88,0",119.75,"0,0,0,0,0,0,0,0.537,0.537,0,0","0,0,0,0,1.0,0,0","FORE PEAK TANK,NO. 1 T. & BTM. W. B. TK. S,NO. 1 T. & BTM. W. B. TK. P,NO. 2 T. S. & BTM. W. B. TK. S,NO. 2 T. S. & BTM. W. B. TK. P,NO. 3 S. & BTM. W. B. TK. S,NO. 3 S. & BTM. W. B. TK. P,NO. 4 T. S. & BTM. W. B. TK. S,NO. 4 T. S. & BTM. W. B. TK. P,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,AFT PEAK TANK",80.41,4
KAC,65,1,1,2,1,WI,7,"1.0,1.0,1.0,1.0,1.0,1.0,0",0,13065.88,"0,0,0,0,0,67.42,0",2,2,"-752.5173366461952,0.07262107838325445,-6.55623491842668e-08","-102.04775684124279,1.780543243315205e-05,-1.5225038597490448e-11",2,6,"-8.49257233125939,0.0008890177840378249,-7.767442200462329e-10","-0.5826646537292919,-1.444469220349303e-07,1.676931488452493e-11,-5.721605189404859e-16,9.759007768031691e-21,-8.124102527572585e-26,2.623532034959859e-31",11,"1.0,1.0,1.0,0.914,0.914,0.467,0.467,0.404,0.404,0.404,0.404,0","0,0,0,0,0,0,0,67.74,67.74,54.46,54.46,0","13065.88,0",119.75,"0,0,0,0,0,0,0,0.404,0.404,0.078,0.078","0,0,0,0,0,1.0,0","FORE PEAK TANK,NO. 1 T. & BTM. W. B. TK. S,NO. 1 T. & BTM. W. B. TK. P,NO. 2 T. S. & BTM. W. B. TK. S,NO. 2 T. S. & BTM. W. B. TK. P,NO. 3 S. & BTM. W. B. TK. S,NO. 3 S. & BTM. W. B. TK. P,NO. 4 T. S. & BTM. W. B. TK. S,NO. 4 T. S. & BTM. W. B. TK. P,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,AFT PEAK TANK",53.595,4
KAC,32,1,1,1,1,WI,7,"1.0,1.0,1.0,1.0,1.0,1.0,1.0",0,13065.88,"0,0,0,0,0,0,40.07",2,2,"-1023.2508623985083,0.10002332739793618,-8.814763551322113e-08","-115.0890126400239,2.687301376484949e-05,-2.297853047581954e-11",2,2,"-10.488955687793155,0.0010171920238551612,-7.088802605663571e-10","-0.3420986089444865,1.0255009989485282e-06,-9.065183632997754e-13",11,"1.0,1.0,1.0,0.914,0.914,0.467,0.467,0.404,0.404,0.948,0.948,0","0,0,0,0,0,0,0,0,0,41.1,41.1,0","13065.88,0",119.75,"0,0,0,0,0,0,0,0,0,0.922,0.922","0,0,0,0,0,0,1.0","FORE PEAK TANK,NO. 1 T. & BTM. W. B. TK. S,NO. 1 T. & BTM. W. B. TK. P,NO. 2 T. S. & BTM. W. B. TK. S,NO. 2 T. S. & BTM. W. B. TK. P,NO. 3 S. & BTM. W. B. TK. S,NO. 3 S. & BTM. W. B. TK. P,NO. 4 T. S. & BTM. W. B. TK. S,NO. 4 T. S. & BTM. W. B. TK. P,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. S,NO. 5 T. S. & BTM. W. B. TK. / COLLECT TK. P,AFT PEAK TANK",25.05,4
