Vessel,trimHoldnumber,trimholddegree,trimholdconst,mctcdegree,lcbdegree,mctcconst,lcbconst,HOLDLCB,volume_start,volume_end,lcg
FWA,1,7,"198.67252538865526,9.619862683485665e-05,-1.7854384324238893e-07,7.041977611984915e-11,-1.1920566702558394e-14,1.0006602721534552e-18,-4.046555796321719e-23,6.175591541166603e-28",7,5,"682.4403172833116,0.013077371992592113,2.3826840347065193e-07,-3.964259897051954e-11,1.3273225493288564e-15,-1.9273683894966305e-20,1.2974401930330987e-25,-3.3247786440463834e-31","123.76629398747926,-0.0002035854347462101,7.1024656434621465e-09,-1.3998176956830663e-13,1.1317700903655875e-18,-3.2294022145228322e-24",119.75,0,0,0
FWA,2,6,"172.9521215817568,-1.7844071788281727e-05,-3.105035143424257e-08,8.179411181950551e-12,-8.583305811360103e-16,4.097147780589186e-20,-7.329672476310038e-25",7,5,"682.4403172833116,0.013077371992592113,2.3826840347065193e-07,-3.964259897051954e-11,1.3273225493288564e-15,-1.9273683894966305e-20,1.2974401930330987e-25,-3.3247786440463834e-31","123.76629398747926,-0.0002035854347462101,7.1024656434621465e-09,-1.3998176956830663e-13,1.1317700903655875e-18,-3.2294022145228322e-24",119.75,0,0,0
FWA,3,99,"145.2808430704003,-6.869103014181609e-06,9.133741313485581e-09,-4.198767347751973e-12,8.316778550385693e-16,-8.074080238548817e-20,3.78958063010456e-24,-6.891438396364419e-29",7,5,"682.4403172833116,0.013077371992592113,2.3826840347065193e-07,-3.964259897051954e-11,1.3273225493288564e-15,-1.9273683894966305e-20,1.2974401930330987e-25,-3.3247786440463834e-31","123.76629398747926,-0.0002035854347462101,7.1024656434621465e-09,-1.3998176956830663e-13,1.1317700903655875e-18,-3.2294022145228322e-24",119.75,"0,3913.5,10931.69,12503.5","3913.4,10931.68,12503.44,14386.49","145.28,145.27,145.26,145.25"
FWA,4,99,"119.7695206108904,5.335574705303922e-06,-8.607256720226066e-09,4.611771455194183e-12,-1.05592850763369e-15,1.199326279110009e-19,-6.689380568358384e-24,1.4603795557687769e-28",7,5,"682.4403172833116,0.013077371992592113,2.3826840347065193e-07,-3.964259897051954e-11,1.3273225493288564e-15,-1.9273683894966305e-20,1.2974401930330987e-25,-3.3247786440463834e-31","123.76629398747926,-0.0002035854347462101,7.1024656434621465e-09,-1.3998176956830663e-13,1.1317700903655875e-18,-3.2294022145228322e-24",119.75,"0,3671.37,10788.98,125546.57","3671.36,10788.97,125546.56,12698.08","119.77,119.78,119.77,119.76"
FWA,5,99,"94.26301673168885,2.0943831422899867e-05,-2.0805884453039017e-08,8.838897669416671e-12,-1.7495524104233818e-15,1.78605574190189e-19,-9.14276682149659e-24,1.8561019415542904e-28",7,5,"682.4403172833116,0.013077371992592113,2.3826840347065193e-07,-3.964259897051954e-11,1.3273225493288564e-15,-1.9273683894966305e-20,1.2974401930330987e-25,-3.3247786440463834e-31","123.76629398747926,-0.0002035854347462101,7.1024656434621465e-09,-1.3998176956830663e-13,1.1317700903655875e-18,-3.2294022145228322e-24",119.75,"0,3216.86,4256.4,5642.34,8500.73,11943.84,13743.56","3216.85,4256.3,5642.33,8500.72,11943.83,13743.55,14352.77","94.27,94.28,94.29,94.3,94.31,94.3,94.31"
FWA,6,6,"67.01389026646083,2.2515105953473673e-05,3.918360665135349e-08,-1.1563397858546046e-11,1.4024233240243183e-15,-7.968619994246084e-20,1.741903501375256e-24",7,5,"682.4403172833116,0.013077371992592113,2.3826840347065193e-07,-3.964259897051954e-11,1.3273225493288564e-15,-1.9273683894966305e-20,1.2974401930330987e-25,-3.3247786440463834e-31","123.76629398747926,-0.0002035854347462101,7.1024656434621465e-09,-1.3998176956830663e-13,1.1317700903655875e-18,-3.2294022145228322e-24",119.75,0,0,0
FWA,7,6,"41.01245900107033,-7.119685318376978e-05,9.465854410234416e-08,-3.2743623501050903e-11,4.222146102023699e-15,-2.404217354241911e-19,5.10785495218462e-24",7,5,"682.4403172833116,0.013077371992592113,2.3826840347065193e-07,-3.964259897051954e-11,1.3273225493288564e-15,-1.9273683894966305e-20,1.2974401930330987e-25,-3.3247786440463834e-31","123.76629398747926,-0.0002035854347462101,7.1024656434621465e-09,-1.3998176956830663e-13,1.1317700903655875e-18,-3.2294022145228322e-24",119.75,0,0,0
