Vessel,Frame_number,"Midframe(0,1)",EndFrame,Distprevframe,DistFromAft,Framepostionafp,mid_ship_distance_from_AP,UDDraftMDegree,UDDraftMConst
FWA,249,0,1,26.815,212.755,8,26.815,2,"0.1595019941445405,0.00016302055316441138,-1.2270383179496526e-10"
FWA,218,0,0,27.68,185.94,7,27.68,2,"0.1595019941445405,0.00016302055316441138,-1.2270383179496526e-10"
FWA,186,0,0,25.95,158.26,6,25.95,2,"0.1595019941445405,0.00016302055316441138,-1.2270383179496526e-10"
FWA,156,0,0,25.085,132.31,5,25.085,2,"0.1595019941445405,0.00016302055316441138,-1.2270383179496526e-10"
FWA,127,1,0,26.815,107.225,4,26.815,2,"0.1595019941445405,0.00016302055316441138,-1.2270383179496526e-10"
FWA,96,0,0,26.815,80.41,3,26.815,2,"0.1595019941445405,0.00016302055316441138,-1.2270383179496526e-10"
FWA,65,0,0,28.545,53.595,2,28.545,2,"0.1595019941445405,0.00016302055316441138,-1.2270383179496526e-10"
FWA,32,0,0,25.05,25.05,1,25.05,2,"0.1595019941445405,0.00016302055316441138,-1.2270383179496526e-10"
