cargowt,Ballestwt,LightWeight,WC
0,51104,12182,245
10000,45000,12182,245
20000,32000,12182,245
30000,32000,12182,245
40000,10000,12182,245
50000,20000,12182,245
60000,15000,12182,245
70000,12000,12182,245
80000,10000,12182,245
90000,10000,12182,245
