vessel,HoldNumber,WeightDegree,weightConst,UseBallast,Ballast_tank_No
KAC,1,7,"8858.17016034284,0.08895542943422291,2.3755967929800977e-07,1.551662712781468e-10,-6.2978682338693575e-15,1.0120295496990626e-19,-7.498712257444705e-25,2.110565157378054e-30",0,0
KAC,2,7,"2023.9016311441048,0.785579772688241,-4.5378185351958355e-05,1.6529153898470519e-09,-3.182532774591135e-14,3.2515461997411586e-19,-1.6810483320271937e-24,3.4705618489348046e-30",0,0
KAC,3,7,"11716.629192210503,-0.20693836216706524,2.275031298360035e-05,-6.169989070282554e-10,7.86957124005719e-15,-4.147407482680362e-20,-7.43765722334662e-27,5.501016955619521e-31",0,0
KAC,4,7,"2299.7553355942705,0.5693187117119981,-3.11219396572653e-05,1.1335870071846241e-09,-2.1721748359868467e-14,2.187810397171558e-19,-1.106607462259159e-24,2.2207352403703025e-30",0,0
KAC,5,7,"11308.188651082206,-0.12408576074686824,1.596415876874716e-05,-3.491424708989203e-10,2.126553392243896e-15,2.629888141629152e-20,-4.189332956119898e-25,1.5516279107473668e-30",0,0
KAC,6,7,"1905.1437898949664,0.7615049498554841,-4.3070672105535946e-05,1.5285835435317446e-09,-2.8649388144795236e-14,2.8424098999690573e-19,-1.4218148080550246e-24,2.8268018413237244e-30",0,0
KAC,7,7,"11399.144245245796,-0.15902132908440172,1.9711150055757975e-05,-5.35384751896192e-10,6.7990243801542166e-15,-3.468797395534753e-20,-2.3702993243505872e-26,5.468605578823162e-31",0,0
