Frame,Xap,limitsfpos,limitSFnegSEA,limitbmhog,limitBMsagSEA,limitTMSEA,secI,secA,limitSFposHRB,limitSFnegHRB,limitBMhogHRB,limitBMsagHRB,limitTMHRB
32,25.05,36000,-27000,897600,-436550,0,135,1.01,45000,-36000,1209000,-757000,0
65,53.595,67000,-21000,1579500,-775000,0,153,1.15,85000,-46000,2253000,-1468000,0
96,80.41,32000,-51000,1952200,-922100,0,180,1.35,47000,-65000,3172000,-2177000,0
127,107.225,44000,-56000,1932600,-1491200,0,180,1.35,58000,-70000,3522000,-3126000,0
156,132.31,43000,-43000,1785400,-1422500,0,180,1.35,57000,-66000,3375000,-3057000,0
186,158.26,47000,-26000,1255700,-784400,0,153,1.15,67000,-46000,2320000,-1879000,0
218,185.94,18000,-62000,775000,-529700,0,153,1.15,42000,-76000,1267000,-1036000,0
249,212.755,19000,-16000,98100,-108000,0,135,1.01,25000,-22000,182000,-195000,0
