Vessel,Hold Number,WeightDegree,WeightConst,UseBallast,BallasttankN0
SMB,1,5,"19085.72,0.08743797,-3.320438e-7,2.4813e-12,-7.38843e-18,6.1010589999999996e-24",0,0
SMB,2,5,"29735.15,0.1788363,-0.00000176134,1.697468e-11,-6.651656000000001e-17,8.581451999999999e-23",0,0
SMB,3,5,"30348.35,0.1551087,-0.000001161065,1.201088e-11,-5.0332270000000007e-17,6.746798999999999e-23",0,0
SMB,4,5,"29710.2,0.1449612,-8.982121e-7,9.37235e-12,-3.9303280000000006e-17,5.1886069999999995e-23",0,0
SMB,5,5,"30026.59,0.1480556,-8.402263e-7,8.811068e-12,-3.7396840000000003e-17,4.9638319999999994e-23",0,0
