Frame station,draught,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
56,9.5,111.118,15.186,-0.811,15138.067,2048.907,-375.56
56,10,118.711,15.209,-0.81,16162.52,2050.618,-376.539
56,10.5,126.315,15.232,-0.808,17187.829,2052.329,-377.519
56,11,133.932,15.255,-0.806,18213.993,2054.04,-378.498
56,11.5,141.559,15.279,-0.805,19241.013,2055.75,-379.478
56,12,149.198,15.302,-0.803,20268.888,2057.462,-380.457
56,12.5,156.849,15.325,-0.802,21297.619,2059.173,-381.437
56,13,164.512,15.348,-0.8,22327.205,2060.884,-382.416
56,13.5,172.186,15.371,-0.798,23357.647,2062.595,-383.395
56,14,179.871,15.395,-0.797,24388.944,2064.306,-384.375
56,14.5,187.569,15.418,-0.795,25421.097,2066.016,-385.355
56,15,195.278,15.441,-0.793,26454.105,2067.728,-386.334
56,15.5,202.998,15.464,-0.792,27487.969,2069.439,-387.314
56,16,210.73,15.487,-0.79,28522.688,2071.15,-388.293
56,16.5,218.474,15.51,-0.789,29558.263,2072.861,-389.273
56,17,226.229,15.534,-0.787,30594.693,2074.572,-390.252
56,17.5,233.996,15.557,-0.786,31631.979,2076.283,-391.232
56,18,241.774,15.58,-0.784,32670.12,2077.994,-392.211
56,18.5,249.564,15.603,-0.782,33709.117,2079.704,-393.19
56,19,257.366,15.627,-0.781,34748.969,2081.416,-394.17
56,19.5,265.179,15.65,-0.779,35789.677,2083.127,-395.15
56,20,273.004,15.673,-0.777,36831.24,2084.837,-396.129
56,20.5,280.84,15.696,-0.776,37873.659,2086.549,-397.109
56,21,288.689,15.719,-0.774,38916.933,2088.26,-398.088
56,21.5,296.548,15.743,-0.773,39961.063,2089.971,-399.068
