Vessel,Frame_number,"Midframe(0,1)",EndFrame,Distprevframe,DistFromAft,Framepostionafp,mid_ship_distance_from_AP,UDDraftMDegree,UDDraftMConst
WUI,240.0,0,1,35.69,216.54,6,35.69,2,"0.12840488323640964,0.0001296915732336164,-9.573559102150026e-11"
WUI,201.0,0,0,38.41999999999999,180.85,5,38.41999999999999,2,"0.12840488323640964,0.0001296915732336164,-9.573559102150026e-11"
WUI,159.0,0,0,35.69000000000001,142.43,4,35.69000000000001,2,"0.12840488323640964,0.0001296915732336164,-9.573559102150026e-11"
WUI,120.0,1,0,38.42999999999999,106.74,3,38.42999999999999,2,"0.12840488323640964,0.0001296915732336164,-9.573559102150026e-11"
WUI,78.0,0,0,38.43000000000001,68.31,2,38.43000000000001,2,"0.12840488323640964,0.0001296915732336164,-9.573559102150026e-11"
WUI,36.0,0,0,29.88,29.88,1,29.88,2,"0.12840488323640964,0.0001296915732336164,-9.573559102150026e-11"
