Frame station,draught,BASE VALUE (SF),DRAFT CORRECT. (CD) SF,TRIM CORRECT. (CT) SF,BASE VALUE (BM),DRAFT CORRECT. (CD) BM,TRIM CORRECT. (CT) BM
120,15,64.351,4.84,-0.993,3512,270,-77.297
120,15.5,66.771,4.844,-0.993,3647,268,-77.511
120,16,69.193,4.844,-0.995,3781,268,-77.456
78,2,2.412,6.398,-0.701,131,468,-99.35
78,2.5,5.611,6.434,-0.724,365,472,-102.839
78,3,8.828,6.462,-0.739,601,476,-105.011
78,3.5,12.059,6.482,-0.751,839,478,-106.869
78,4,15.3,6.496,-0.76,1078,482,-108.136
78,4.5,18.548,6.506,-0.78,1319,482,-109.167
78,5,21.801,6.518,-0.773,1560,484,-110.167
78,5.5,25.06,6.524,-0.778,1802,484,-110.819
78,6,28.322,6.528,-0.781,2044,486,-111.058
78,6.5,31.586,6.534,-0.784,2287,486,-111.644
78,7,34.853,6.534,-0.786,2530,486,-111.892
78,7.5,38.12,6.538,-0.787,2773,488,-112.133
78,8,41.389,6.538,-0.788,3017,486,-112.381
78,8.5,44.658,6.538,-0.789,3260,488,-112.381
78,9,47.927,6.54,-0.789,3504,486,-112.544
78,9.5,51.197,6.538,-0.789,3747,486,-112.511
78,10,54.466,6.538,-0.789,3990,488,-112.456
78,10.5,57.735,6.536,-0.795,4234,486,-112.544
78,11,61.003,6.536,-0.79,4477,488,-112.456
78,11.5,64.271,6.534,-0.79,4721,486,-112.586
78,12,67.538,6.536,-0.79,4964,488,-112.544
78,12.5,70.806,6.534,-0.79,5208,486,-112.669
78,13,74.073,6.534,-0.79,5451,486,-112.544
78,13.5,77.34,6.532,-0.79,5694,488,-112.456
78,14,80.606,6.532,-0.79,5938,486,-112.544
78,14.5,83.872,6.534,-0.79,6181,486,-112.489
78,15,87.139,6.536,-0.79,6424,488,-112.456
78,15.5,90.407,6.54,-0.791,6668,488,-112.711
78,16,93.677,6.54,-0.792,6912,488,-112.836
36,2,2.107,7.668,-0.349,224,740,-119.375
36,2.5,5.941,7.75,-0.358,594,748,-123.203
36,3,9.816,7.814,-0.362,968,754,-125.906
36,3.5,13.723,7.87,-0.363,1345,758,-128.219
36,4,17.658,7.916,-0.363,1724,760,-129.953
36,4.5,21.616,7.954,-0.361,2104,762,-131.094
36,5,25.593,7.992,-0.359,2485,766,-131.919
36,5.5,29.589,8.02,-0.356,2868,766,-132.786
36,6,33.599,8.05,-0.352,3251,768,-133.372
36,6.5,37.624,8.072,-0.348,3635,768,-133.894
36,7,41.66,8.096,-0.344,4019,768,-134.142
36,7.5,45.708,8.114,-0.339,4403,770,-134.133
36,8,49.765,8.134,-0.335,4788,770,-134.381
36,8.5,53.832,8.15,-0.331,5173,770,-134.422
