Vessel,trimHoldnumber,trimholddegree,trimholdconst,mctcdegree,lcbdegree,mctcconst,lcbconst,HOLDLCB,volume start,volume end,lcg
PMM,1,2,"196.4269,0.00003780828,3.682656e-10",5,4,"718.3492,0.0237787,-6.845167e-7,1.028082e-11,-6.545553000000001e-17,1.472553e-22","125.7708,-0.00006765074,1.182517e-9,-1.564492e-14,5.572839e-20",124.63,0,0,0
PMM,2,2,"161.6006,-0.00004104959,1.164278e-9",5,4,"718.3492,0.0237787,-6.845167e-7,1.028082e-11,-6.545553000000001e-17,1.472553e-23","125.7708,-0.00006765074,1.182517e-9,-1.564492e-14,5.572839e-21",124.63,0,0,0
PMM,3,2,"124.6338,-0.0000015003,8.643112e-11",5,4,"718.3492,0.0237787,-6.845167e-7,1.028082e-11,-6.545553000000001e-17,1.472553e-24","125.7708,-0.00006765074,1.182517e-9,-1.564492e-14,5.572839e-22",124.63,0,0,0
PMM,4,2,"87.66682,0.00004037087,-1.147064e-9",5,4,"718.3492,0.0237787,-6.845167e-7,1.028082e-11,-6.545553000000001e-17,1.472553e-25","125.7708,-0.00006765074,1.182517e-9,-1.564492e-14,5.572839e-23",124.63,0,0,0
PMM,5,2,"53.40888,-0.00007157266,-2.043487e-9",5,4,"718.3492,0.0237787,-6.845167e-7,1.028082e-11,-6.545553000000001e-17,1.472553e-26","125.7708,-0.00006765074,1.182517e-9,-1.564492e-14,5.572839e-24",124.63,0,0,0
