Trim,DRAFT,DISPL,TPC,LCB,LCF,MTC,TKM,VCB,LKM,DISP_NAKED
-1,6.31,49487.25,83.11,126.04,122.44,1097.51,26.24,3.24,518.16,49281.71
-1,6.32,49570.36,83.12,126.03,122.43,1097.79,26.21,3.24,517.42,49364.66
-1,6.33,49653.47,83.13,126.03,122.42,1098.07,26.18,3.25,516.69,49447.62
-1,6.34,49736.61,83.13,126.02,122.42,1098.35,26.15,3.25,515.96,49530.59
-1,6.35,49819.73,83.15,126.01,122.41,1098.64,26.12,3.26,515.23,49613.57
-1,6.36,49902.88,83.15,126.01,122.4,1098.92,26.09,3.26,514.5,49696.55
-1,6.37,49986.03,83.16,126,122.39,1099.2,26.06,3.27,513.78,49779.54
-1,6.38,50069.2,83.17,126,122.39,1099.48,26.03,3.27,513.06,49862.55
-1,6.39,50152.36,83.18,125.99,122.38,1099.77,26,3.28,512.34,49945.55
-1,6.4,50235.54,83.19,125.98,122.37,1100.05,25.97,3.28,511.63,50028.58
-1,6.41,50318.73,83.19,125.98,122.37,1100.34,25.94,3.29,510.91,50111.6
-1,6.42,50401.92,83.21,125.97,122.36,1100.62,25.91,3.29,510.2,50194.64
-1,6.43,50485.12,83.21,125.96,122.35,1100.91,25.88,3.3,509.49,50277.68
-1,6.44,50568.34,83.22,125.96,122.35,1101.19,25.86,3.3,508.79,50360.73
-1,6.45,50651.55,83.23,125.95,122.34,1101.48,25.83,3.31,508.08,50443.79
-1,6.46,50734.78,83.24,125.95,122.33,1101.76,25.8,3.31,507.38,50526.86
-1,6.47,50818.02,83.25,125.94,122.32,1102.05,25.77,3.32,506.68,50609.94
-1,6.48,50901.27,83.26,125.93,122.32,1102.34,25.74,3.32,505.99,50693.03
-1,6.49,50984.52,83.26,125.93,122.31,1102.62,25.71,3.33,505.29,50776.12
-1,6.5,51067.78,83.27,125.92,122.3,1102.91,25.68,3.33,504.6,50859.22
-1,6.51,51151.05,83.28,125.92,122.29,1103.2,25.66,3.34,503.91,50942.34
-1,6.52,51234.33,83.29,125.91,122.29,1103.49,25.63,3.34,503.23,51025.45
-1,6.53,51317.62,83.3,125.9,122.28,1103.77,25.6,3.35,502.54,51108.59
-1,6.54,51400.91,83.31,125.9,122.27,1104.06,25.57,3.35,501.86,51191.72
-1,6.55,51484.22,83.32,125.89,122.27,1104.35,25.54,3.36,501.18,51274.87
-1,6.56,51567.54,83.32,125.89,122.26,1104.64,25.52,3.36,500.51,51358.02
-1,6.57,51650.86,83.33,125.88,122.25,1104.93,25.49,3.37,499.83,51441.19
-1,6.58,51734.19,83.34,125.87,122.24,1105.22,25.46,3.37,499.16,51524.36
-1,6.59,51817.53,83.35,125.87,122.24,1105.52,25.43,3.38,498.49,51607.54
-1,6.6,51900.87,83.36,125.86,122.23,1105.81,25.41,3.38,497.82,51690.73
-1,6.61,51984.23,83.37,125.86,122.22,1106.1,25.38,3.39,497.16,51773.93
-1,6.62,52067.6,83.38,125.85,122.21,1106.39,25.35,3.39,496.49,51857.14
-1,6.63,52150.98,83.39,125.84,122.21,1106.69,25.33,3.4,495.83,51940.35
-1,6.64,52234.36,83.39,125.84,122.2,1106.98,25.3,3.4,495.17,52023.58
-1,6.65,52317.75,83.4,125.83,122.19,1107.27,25.27,3.41,494.52,52106.81
-1,6.66,52401.15,83.42,125.83,122.18,1107.57,25.25,3.42,493.86,52190.05
-1,6.67,52484.57,83.42,125.82,122.18,1107.86,25.22,3.42,493.21,52273.31
-1,6.68,52567.98,83.43,125.82,122.17,1108.16,25.19,3.43,492.56,52356.56
-1,6.69,52651.41,83.44,125.81,122.16,1108.46,25.17,3.43,491.92,52439.84
-1,6.7,52734.85,83.45,125.8,122.15,1108.75,25.14,3.44,491.27,52523.11
-1,6.71,52818.3,83.46,125.8,122.14,1109.05,25.11,3.44,490.63,52606.4
-1,6.72,52901.75,83.47,125.79,122.14,1109.35,25.09,3.45,489.99,52689.7
-1,6.73,52985.21,83.47,125.79,122.13,1109.65,25.06,3.45,489.35,52773
-1,6.74,53068.68,83.49,125.78,122.12,1109.95,25.04,3.46,488.72,52856.31
-1,6.75,53152.17,83.49,125.77,122.11,1110.25,25.01,3.46,488.08,52939.64
-1,6.76,53235.66,83.5,125.77,122.11,1110.55,24.98,3.47,487.45,53022.97
-1,6.77,53319.16,83.51,125.76,122.1,1110.85,24.96,3.47,486.82,53106.3
-1,6.78,53402.67,83.52,125.76,122.09,1111.15,24.93,3.48,486.19,53189.66
-1,6.79,53486.19,83.53,125.75,122.08,1111.45,24.91,3.48,485.57,53273.02
-1,6.8,53569.71,83.54,125.75,122.07,1111.75,24.88,3.49,484.95,53356.39
-1,6.81,53653.25,83.55,125.74,122.07,1112.06,24.86,3.49,484.33,53439.76
-1,6.82,53736.79,83.56,125.73,122.06,1112.36,24.83,3.5,483.71,53523.15
-1,6.83,53820.35,83.56,125.73,122.05,1112.66,24.81,3.5,483.09,53606.54
-1,6.84,53903.91,83.57,125.72,122.04,1112.97,24.78,3.51,482.48,53689.95
-1,6.85,53987.48,83.59,125.72,122.03,1113.27,24.76,3.51,481.87,53773.36
-1,6.86,54071.07,83.59,125.71,122.03,1113.58,24.73,3.52,481.26,53856.79
-1,6.87,54154.66,83.6,125.7,122.02,1113.89,24.71,3.52,480.65,53940.21
-1,6.88,54238.25,83.61,125.7,122.01,1114.2,24.68,3.53,480.04,54023.66
-1,6.89,54321.86,83.62,125.69,122,1114.5,24.66,3.53,479.44,54107.1
-1,6.9,54405.48,83.63,125.69,121.99,1114.81,24.64,3.54,478.84,54190.57
-1,6.91,54489.11,83.64,125.68,121.99,1115.12,24.61,3.54,478.24,54274.03
-1,6.92,54572.75,83.65,125.68,121.98,1115.43,24.59,3.55,477.64,54357.51
-1,6.93,54656.39,83.66,125.67,121.97,1115.74,24.56,3.55,477.05,54441
-1,6.94,54740.05,83.66,125.66,121.96,1116.06,24.54,3.56,476.45,54524.49
-1,6.95,54823.71,83.68,125.66,121.95,1116.37,24.51,3.56,475.86,54607.99
-1,6.96,54907.39,83.68,125.65,121.95,1116.68,24.49,3.57,475.27,54691.51
-1,6.97,54991.07,83.69,125.65,121.94,1116.99,24.47,3.57,474.69,54775.04
-1,6.98,55074.76,83.71,125.64,121.93,1117.31,24.44,3.58,474.1,54858.57
-1,6.99,55158.46,83.71,125.64,121.92,1117.62,24.42,3.58,473.52,54942.11
-1,7,55242.17,83.72,125.63,121.91,1117.94,24.4,3.59,472.94,55025.66
-1,7.01,55325.89,83.73,125.62,121.9,1118.26,24.37,3.59,472.36,55109.23
-1,7.02,55409.62,83.74,125.62,121.9,1118.57,24.35,3.6,471.78,55192.79
-1,7.03,55493.36,83.75,125.61,121.89,1118.89,24.33,3.61,471.21,55276.37
-1,7.04,55577.11,83.76,125.61,121.88,1119.21,24.3,3.61,470.63,55359.96
-1,7.05,55660.87,83.77,125.6,121.87,1119.53,24.28,3.62,470.06,55443.57
-1,7.06,55744.64,83.78,125.6,121.86,1119.85,24.26,3.62,469.49,55527.17
-1,7.07,55828.42,83.79,125.59,121.85,1120.17,24.23,3.63,468.92,55610.79
-1,7.08,55912.21,83.8,125.58,121.84,1120.5,24.21,3.63,468.36,55694.42
-1,7.09,55996.01,83.81,125.58,121.84,1120.82,24.19,3.64,467.8,55778.06
-1,7.1,56079.81,83.82,125.57,121.83,1121.14,24.17,3.64,467.23,55861.7
-1,7.11,56163.63,83.83,125.57,121.82,1121.47,24.14,3.65,466.68,55945.36
-1,7.12,56247.46,83.84,125.56,121.81,1121.79,24.12,3.65,466.12,56029.03
-1,7.13,56331.3,83.85,125.56,121.8,1122.12,24.1,3.66,465.56,56112.7
-1,7.14,56415.14,83.86,125.55,121.79,1122.45,24.08,3.66,465.01,56196.38
-1,7.15,56499,83.87,125.54,121.78,1122.77,24.05,3.67,464.46,56280.08
-1,7.16,56582.86,83.88,125.54,121.78,1123.1,24.03,3.67,463.91,56363.79
-1,7.17,56666.74,83.89,125.53,121.77,1123.43,24.01,3.68,463.36,56447.5
-1,7.18,56750.62,83.9,125.53,121.76,1123.76,23.99,3.68,462.81,56531.22
-1,7.19,56834.52,83.9,125.52,121.75,1124.09,23.97,3.69,462.27,56614.96
-1,7.2,56918.42,83.92,125.52,121.74,1124.43,23.94,3.69,461.73,56698.7
-1,7.21,57002.34,83.93,125.51,121.73,1124.76,23.92,3.7,461.19,56782.46
-1,7.22,57086.26,83.94,125.5,121.72,1125.09,23.9,3.7,460.65,56866.21
-1,7.23,57170.19,83.95,125.5,121.71,1125.43,23.88,3.71,460.11,56949.99
-1,7.24,57254.14,83.96,125.49,121.7,1125.76,23.86,3.71,459.58,57033.77
-1,7.25,57338.09,83.96,125.49,121.69,1126.1,23.84,3.72,459.04,57117.57
-1,7.26,57422.05,83.97,125.48,121.69,1126.44,23.81,3.72,458.51,57201.37
-1,7.27,57506.03,83.99,125.48,121.68,1126.78,23.79,3.73,457.98,57285.18
-1,7.28,57590.02,84,125.47,121.67,1127.12,23.77,3.73,457.46,57369.01
-1,7.29,57674.01,84.01,125.46,121.66,1127.46,23.75,3.74,456.93,57452.84
-1,7.3,57758.01,84.01,125.46,121.65,1127.8,23.73,3.74,456.41,57536.69
-1,7.31,57842.02,84.03,125.45,121.64,1128.14,23.71,3.75,455.89,57620.54
-1,7.32,57926.05,84.04,125.45,121.63,1128.48,23.69,3.75,455.37,57704.4
-1,7.33,58010.08,84.04,125.44,121.62,1128.83,23.67,3.76,454.85,57788.27
-1,7.34,58094.12,84.06,125.44,121.61,1129.17,23.65,3.76,454.33,57872.16
-1,7.35,58178.18,84.07,125.43,121.6,1129.52,23.62,3.77,453.82,57956.05
-1,7.36,58262.25,84.07,125.43,121.59,1129.87,23.6,3.77,453.3,58039.96
-1,7.37,58346.32,84.09,125.42,121.58,1130.21,23.58,3.78,452.79,58123.87
-1,7.38,58430.41,84.1,125.41,121.57,1130.56,23.56,3.79,452.28,58207.79
-1,7.39,58514.5,84.11,125.41,121.57,1130.91,23.54,3.79,451.78,58291.73
-1,7.4,58598.61,84.12,125.4,121.56,1131.26,23.52,3.8,451.27,58375.67
-1,7.41,58682.72,84.13,125.4,121.55,1131.62,23.5,3.8,450.77,58459.62
-1,7.42,58766.85,84.14,125.39,121.54,1131.97,23.48,3.81,450.27,58543.59
-1,7.43,58850.98,84.15,125.39,121.53,1132.32,23.46,3.81,449.77,58627.57
-1,7.44,58935.13,84.16,125.38,121.52,1132.68,23.44,3.82,449.27,58711.55
-1,7.45,59019.29,84.17,125.37,121.51,1133.04,23.42,3.82,448.77,58795.55
-1,7.46,59103.46,84.18,125.37,121.5,1133.39,23.4,3.83,448.28,58879.56
-1,7.47,59187.63,84.19,125.36,121.49,1133.75,23.38,3.83,447.78,58963.57
-1,7.48,59271.82,84.2,125.36,121.48,1134.11,23.36,3.84,447.29,59047.61
-1,7.49,59356.02,84.21,125.35,121.47,1134.47,23.34,3.84,446.8,59131.64
-1,7.5,59440.23,84.22,125.35,121.46,1134.83,23.32,3.85,446.32,59215.69
-1,7.51,59524.45,84.23,125.34,121.45,1135.2,23.3,3.85,445.83,59299.75
-1,7.52,59608.68,84.24,125.34,121.44,1135.56,23.28,3.86,445.35,59383.82
-1,7.53,59692.92,84.26,125.33,121.43,1135.93,23.26,3.86,444.86,59467.9
-1,7.54,59777.18,84.27,125.32,121.42,1136.29,23.24,3.87,444.38,59551.99
-1,7.55,59861.44,84.28,125.32,121.41,1136.66,23.23,3.87,443.9,59636.09
-1,7.56,59945.71,84.29,125.31,121.4,1137.03,23.21,3.88,443.43,59720.2
-1,7.57,60030,84.3,125.31,121.39,1137.4,23.19,3.88,442.95,59804.33
-1,7.58,60114.3,84.31,125.3,121.38,1137.77,23.17,3.89,442.48,59888.46
-1,7.59,60198.61,84.32,125.3,121.37,1138.14,23.15,3.89,442,59972.61
-1,7.6,60282.92,84.33,125.29,121.36,1138.51,23.13,3.9,441.53,60056.76
-1,7.61,60367.25,84.34,125.29,121.35,1138.89,23.11,3.9,441.07,60140.93
-1,7.62,60451.59,84.35,125.28,121.34,1139.26,23.09,3.91,440.6,60225.1
-1,7.63,60535.94,84.37,125.27,121.33,1139.64,23.07,3.91,440.13,60309.29
-1,7.64,60620.3,84.37,125.27,121.32,1140.02,23.05,3.92,439.67,60393.49
-1,7.65,60704.67,84.39,125.26,121.31,1140.39,23.04,3.92,439.21,60477.7
-1,7.66,60789.05,84.4,125.26,121.3,1140.77,23.02,3.93,438.75,60561.92
-1,7.67,60873.45,84.41,125.25,121.29,1141.16,23,3.93,438.29,60646.15
-1,7.68,60957.86,84.42,125.25,121.28,1141.54,22.98,3.94,437.83,60730.4
-1,7.69,61042.27,84.43,125.24,121.27,1141.92,22.96,3.94,437.38,60814.65
-1,7.7,61126.7,84.44,125.23,121.26,1142.31,22.94,3.95,436.92,60898.91
-1,7.71,61211.14,84.45,125.23,121.24,1142.69,22.93,3.96,436.47,60983.2
-1,7.72,61295.59,84.46,125.22,121.23,1143.08,22.91,3.96,436.02,61067.48
-1,7.73,61380.05,84.48,125.22,121.22,1143.47,22.89,3.97,435.57,61151.78
-1,7.74,61464.52,84.49,125.21,121.21,1143.86,22.87,3.97,435.12,61236.09
-1,7.75,61549.01,84.5,125.21,121.2,1144.25,22.85,3.98,434.68,61320.41
-1,7.76,61633.5,84.51,125.2,121.19,1144.64,22.84,3.98,434.24,61404.75
-1,7.77,61718.01,84.52,125.2,121.18,1145.04,22.82,3.99,433.79,61489.09
-1,7.78,61802.53,84.53,125.19,121.17,1145.43,22.8,3.99,433.35,61573.45
-1,7.79,61887.06,84.54,125.18,121.16,1145.83,22.78,4,432.91,61657.81
-1,7.8,61971.61,84.55,125.18,121.15,1146.22,22.76,4,432.48,61742.2
-1,7.81,62056.15,84.56,125.17,121.14,1146.62,22.75,4.01,432.04,61826.58
-1,7.82,62140.72,84.58,125.17,121.13,1147.02,22.73,4.01,431.61,61910.98
-1,7.83,62225.29,84.59,125.16,121.11,1147.43,22.71,4.02,431.17,61995.39
-1,7.84,62309.88,84.6,125.16,121.1,1147.83,22.7,4.02,430.74,62079.82
-1,7.85,62394.48,84.61,125.15,121.09,1148.23,22.68,4.03,430.31,62164.26
-1,7.86,62479.09,84.63,125.15,121.08,1148.64,22.66,4.03,429.89,62248.71
-1,7.87,62563.71,84.64,125.14,121.07,1149.04,22.64,4.04,429.46,62333.17
-1,7.88,62648.35,84.65,125.13,121.06,1149.45,22.63,4.04,429.04,62417.64
-1,7.89,62732.99,84.66,125.13,121.05,1149.86,22.61,4.05,428.61,62502.12
-1,7.9,62817.65,84.67,125.12,121.04,1150.27,22.59,4.05,428.19,62586.62
-1,7.91,62902.32,84.68,125.12,121.03,1150.69,22.58,4.06,427.77,62671.12
-1,7.92,62987,84.69,125.11,121.01,1151.1,22.56,4.06,427.35,62755.64
-1,7.93,63071.7,84.71,125.11,121,1151.51,22.54,4.07,426.94,62840.18
-1,7.94,63156.41,84.72,125.1,120.99,1151.93,22.52,4.07,426.52,62924.72
-1,7.95,63241.12,84.73,125.1,120.98,1152.35,22.51,4.08,426.11,63009.27
