cargowt,Ballestwt,LightWeight,WC
0,51104,14841,962
10000,45000,14841,962
20000,32000,14841,962
30000,32000,14841,962
40000,10000,14841,962
50000,20000,14841,962
60000,15000,14841,962
70000,12000,14841,962
80000,10000,14841,962
90000,10000,14841,962
