Hold No.,Lengh,Breath,Height,Max. Weight (MT),Stowage factor(MT/M3),Volume without Hatch,Hatch Volume,LCG,VCG
1,25.59,34.132,27.648,33250,1.807,19607.7,272.8,225.5,14.1
2,27.12,45,27.648,24200,1.02,24073.1,360.8,199.7,13.57
3,25.08,45,27.648,37000,1.807,21909.6,360.8,173.7,13.63
4,27.12,45,27.648,24200,1.018,24125.6,360.8,147.6,13.56
5,25.08,45,27.648,37000,1.807,21900.6,360.8,121.5,13.63
6,27.12,45,27.648,23600,1.036,23445.2,360.8,95.4,13.66
7,25.08,45,27.648,37000,1.807,21906,360.8,69.2,13.63
8,27.12,45,27.648,24000,1.02,23886.1,360.8,43.3,13.64
9,25.59,45,27.648,31500,1.807,18653.5,254.7,17.4,14.83
