cargowt,Ballestwt,LightWeight,WC
0,51104,25777,388
10000,45000,25777,388
20000,32000,25777,388
30000,32000,25777,388
40000,10000,25777,388
50000,20000,25777,388
60000,15000,25777,388
70000,12000,25777,388
80000,10000,25777,388
90000,10000,25777,388
