Vessel,Hold Number,WeightDegree,WeightConst,UseBallast,BallasttankN0
FWA,1,7,"18563.077478394716,0.036352187571545944,1.8317590973797284e-06,-2.1080521971559133e-11,6.670274685514e-17,4.17494374341038e-22,-3.424287832311005e-27,6.385141617714373e-33",0,0
FWA,2,7,"7280.148874689606,0.32901452078020293,-7.490795135559493e-06,1.3402089938014468e-10,-1.2228863670794485e-15,5.640978386229134e-21,-1.2628585232770017e-26,1.080211209750611e-32",1,2
FWA,3,7,"19335.40937047746,0.17258275370919413,-2.6317313340341385e-06,5.7101033033842405e-11,-6.474229392105874e-16,3.9074694261745926e-21,-1.2131756100954928e-26,1.5128368300109164e-32",0,0
FWA,4,7,"8215.036262872258,0.23127570339678555,-3.865556552476312e-06,7.15136985963871e-11,-6.550681211776411e-16,2.8281343298219712e-21,-5.430409834579919e-27,3.346980475319727e-33",1,4
FWA,5,7,"20435.005395978962,0.09715217992625426,-1.4705244762847579e-06,7.009971981304916e-11,-1.1203074034419357e-15,8.194046573799276e-21,-2.8329800658933254e-26,3.741507783272761e-32",0,0
FWA,6,7,"4586.388072355089,0.5791390885820409,-1.6996672890776005e-05,3.020817366262714e-10,-2.793224310248404e-15,1.3644700393037944e-20,-3.367620559885571e-26,3.316433304120545e-32",1,6
FWA,7,7,"21176.34224169689,0.015247252464616756,1.8620874661594448e-06,4.8296799388869396e-12,-4.458303765737552e-16,4.433228220530976e-21,-1.763673525980233e-26,2.52596894644421e-32",0,0
FWA,8,7,"5464.874025362168,0.5085181202620149,-1.441786388958006e-05,2.617274570981369e-10,-2.468928118716232e-15,1.2240805579496062e-20,-3.0566902447864063e-26,3.040726623928167e-32",1,8
FWA,9,7,"16590.644180532287,0.1578646142708343,-3.996475627128771e-06,1.080176504961344e-10,-1.4048818789056465e-15,9.261855931183643e-21,-3.006190424978924e-26,3.8066009069204686e-32",0,0
