Vessel,trimHoldnumber,trimholddegree,trimholdconst,mctcdegree,lcbdegree,mctcconst,lcbconst,HOLDLCB,volume start,volume end,lcg
FWA,1,0,254.5,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
FWA,2,0,228.7,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
FWA,3,0,202.7,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
FWA,4,0,176.6,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
FWA,5,0,150.5,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
FWA,6,0,124.4,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
FWA,7,0,98.2,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
FWA,8,0,72.3,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
FWA,9,0,46.4,5,4,"1264.253054307057,0.02067451380679947,-3.178468306505351e-07,2.913904168796105e-12,-1.1747021804262305e-17,1.689564442173025e-23","153.31487702850043,-2.1703254287828308e-05,2.0271133137392226e-10,-2.595377855072216e-15,6.431365526207806e-21","228.72,176.55,124.35,72.25",0,0,0
